접수연도,자치구코드,자치구명,법정동코드,법정동명,건물명,계약일,물건금액(만원),건물면적(㎡),토지면적(㎡),층,건축년도,역개수,학교수
2024,11230,동대문구,10100,신설동,동대문 프라임시티,20241227,22795,17.25,25.44,5.0,2023.0,6,5
2024,11230,동대문구,10100,신설동,동대문 프라임시티,20241227,22795,17.25,25.44,5.0,2023.0,6,5
2024,11230,동대문구,10100,신설동,동대문 프라임시티,20241227,23185,17.25,25.44,9.0,2023.0,6,5
2024,11230,동대문구,10100,신설동,동대문 프라임시티,20241227,22795,17.25,25.44,5.0,2023.0,6,5
2024,11230,동대문구,10100,신설동,동대문 프라임시티,20241227,21138,16.05,23.75,4.0,2023.0,6,5
2024,11470,양천구,10100,신정동,,20241227,90000,164.16,114.0,,1983.0,5,63
2024,11500,강서구,10500,마곡동,힐스테이트 에코 마곡역,20241227,17600,19.868,29.243,8.0,2017.0,9,8
2024,11500,강서구,10300,화곡동,호수빌라(56-398),20241227,15000,45.32,25.0,3.0,2001.0,9,42
2024,11680,강남구,10500,삼성동,현대힐스테이트2단지,20241227,149000,40.763,0.0,9.0,2008.0,21,8
2024,11230,동대문구,10600,장안동,현대썬앤빌601,20241227,10000,21.03,30.083,15.0,2015.0,6,5
2024,11230,동대문구,10600,장안동,현대썬앤빌601,20241227,10000,21.03,30.083,15.0,2015.0,6,5
2024,11230,동대문구,10600,장안동,현대썬앤빌601,20241227,10450,18.35,0.0,16.0,2015.0,6,5
2024,11560,영등포구,12700,양평동3가,현대3차,20241227,93000,84.62,0.0,17.0,1991.0,11,0
2024,11260,중랑구,10500,망우동,한일써너스빌리젠시 1단지,20241227,34900,59.61,77.21,3.0,2008.0,8,48
2024,11380,은평구,10700,응암동,한성빌라(227-1),20241227,12000,42.2,23.0,2.0,1992.0,13,46
2024,11560,영등포구,11400,당산동4가,한강아파트,20241227,88000,59.4,0.0,9.0,1999.0,11,0
2024,11500,강서구,10300,화곡동,하은빌리지,20241227,26600,35.7,21.0,5.0,2016.0,9,42
2024,11410,서대문구,11700,연희동,연희동양빌라트,20241227,27000,42.02,19.0,4.0,1998.0,5,6
2024,11500,강서구,10500,마곡동,플레이스에이치,20241227,13000,18.38,27.28,5.0,2015.0,9,8
2024,11200,성동구,10500,마장동,"트레저힐스(201동,202동)",20241227,31900,27.31,13.0,7.0,2018.0,14,3
2024,11590,동작구,10200,상도동,창조빌라,20241227,24000,54.63,33.0,-1.0,1993.0,12,8
